file,hook,line,description
,wpseo_xsl_{$type},429,"Fires for the output of XSL for XML sitemaps, other than type ""main""."
,wpseo_allow_xml_sitemap_ping,556,"Filter: 'wpseo_allow_xml_sitemap_ping' - Check if pinging is not allowed (allowed by default)"
,wpseo_sitemap_entries_per_page,587,"Filter the maximum number of entries per XML sitemap."
,wpseo_sitemap_post_statuses,608,"Filter post status list for sitemap query for the post type."
,wpseo_sitemap_http_headers,643,"Filter the HTTP headers we send before an XML sitemap."
inc/sitemaps/class-taxonomy-sitemap-provider.php,,,
,wpseo_xml_sitemap_include_images,36,"Filter - Allows excluding images from the XML sitemap."
,wpseo_sitemap_exclude_empty_terms,82,"Filter the setting of excluding empty terms from the XML sitemap."
,wpseo_sitemap_exclude_empty_terms_taxonomy,93,"Filter the setting of excluding empty terms from the XML sitemap for a specific taxonomy."
,wpseo_sitemap_exclude_empty_terms,193,"This filter is documented in inc/sitemaps/class-taxonomy-sitemap-provider.php"
,wpseo_sitemap_exclude_empty_terms_taxonomy,195,"This filter is documented in inc/sitemaps/class-taxonomy-sitemap-provider.php"
,wpseo_exclude_from_sitemap_by_term_ids,229,"Filter: 'wpseo_exclude_from_sitemap_by_term_ids' - Allow excluding terms by ID."
,wpseo_sitemap_entry,262,"This filter is documented at inc/sitemaps/class-post-type-sitemap-provider.php"
,wpseo_sitemap_exclude_taxonomy,299,"Filter to exclude the taxonomy from the XML sitemap."
inc/wpseo-functions.php,,,
,wpseo_register_capabilities,249,
lib/orm.php,,,
,_yoast_run_migrations,1947,"An instance of Model is being made."
src/actions/indexing/abstract-link-indexing-action.php,,,
,wpseo_link_indexing_limit,118,"Filter 'wpseo_link_indexing_limit' - Allow filtering the number of texts indexed during each link indexing pass."
src/actions/indexing/indexable-post-indexation-action.php,,,
,wpseo_post_indexation_limit,109,"Filter 'wpseo_post_indexation_limit' - Allow filtering the amount of posts indexed during each indexing pass."
src/actions/indexing/indexable-post-type-archive-indexation-action.php,,,
,wpseo_post_type_archive_indexation_limit,105,"Filter 'wpseo_post_type_archive_indexation_limit' - Allow filtering the number of posts indexed during each indexing pass."
src/actions/indexing/indexable-term-indexation-action.php,,,
,wpseo_term_indexation_limit,109,"Filter 'wpseo_term_indexation_limit' - Allow filtering the number of terms indexed during each indexing pass."
src/builders/indexable-builder.php,,,
,wpseo_should_save_indexable,296,"Filter: 'wpseo_override_save_indexable' - Allow developers to enable / disable saving the indexable when the indexable is updated. Warning: overriding the intended action may cause problems when moving from a staging to a production environment because indexable permalinks may get set incorrectly."
,wpseo_save_indexable,314,"Action: 'wpseo_save_indexable' - Allow developers to perform an action when the indexable is updated."
src/builders/indexable-link-builder.php,,,
,the_content,87,
src/builders/indexable-post-builder.php,,,
,wpseo_public_post_statuses,230,"Filter: 'wpseo_public_post_statuses' - List of public post statuses."
src/commands/index-command.php,,,
,_yoast_run_migrations,145,
src/conditionals/should-index-links-conditional.php,,,
,wpseo_should_index_links,41,"Filter: 'wpseo_should_index_links' - Allows disabling of Yoast's links indexation."
src/context/meta-tags-context.php,,,
,wpseo_schema_company_name,277,"Filter: 'wpseo_schema_company_name' - Allows filtering company name"
,wpseo_schema_company_logo_id,293,"Filter: 'wpseo_schema_company_logo_id' - Allows filtering company logo id"
,wpseo_schema_webpage_type,450,"Filter: 'wpseo_schema_webpage_type' - Allow changing the WebPage type."
,wpseo_schema_article_type,484,"Filter: 'wpseo_schema_article_type' - Allow changing the Article type."
src/deprecated/class-metabox-addon-section.php,,,
,wpseo_tab_header,45,
,wpseo_tab_content,50,
src/deprecated/frontend/breadcrumbs.php,,,
,wpseo_frontend_presentation,136,"This filter is documented in src/integrations/front-end-integration.php"
src/deprecated/frontend/class-opengraph.php,,,
,wpseo_og_{$og_property},58,"Filter: 'wpseo_og_' . $og_property - Allow developers to change the content of specific OG meta tags."
src/deprecated/frontend/frontend.php,,,
,wpseo_frontend_presentation,272,"This filter is documented in src/integrations/front-end-integration.php"
src/deprecated/frontend/schema/class-schema-person.php,,,
,wpseo_schema_person_social_profiles,92,"Filter: 'wpseo_schema_person_social_profiles' - Allows filtering of social profiles per user."
src/generators/breadcrumbs-generator.php,,,
,wpseo_breadcrumb_indexables,139,
,wpseo_breadcrumb_links,181,"Filter: 'wpseo_breadcrumb_links' - Allow the developer to filter the Yoast SEO breadcrumb links, add to them, change order, etc."
,wpseo_breadcrumb_single_link_info,192,"Filter: 'wpseo_breadcrumb_single_link_info' - Allow developers to filter the Yoast SEO Breadcrumb link information."
src/generators/open-graph-image-generator.php,,,
,wpseo_add_opengraph_images,90,"Filter: wpseo_add_opengraph_images - Allow developers to add images to the Open Graph tags."
,wpseo_add_opengraph_additional_images,104,"Filter: wpseo_add_opengraph_additional_images - Allows to add additional images to the Open Graph tags."
src/generators/open-graph-locale-generator.php,,,
,wpseo_locale,27,"Filter: 'wpseo_locale' - Allow changing the locale output."
src/generators/schema/article.php,,,
,wpseo_schema_article_keywords_taxonomy,94,"Filter: 'wpseo_schema_article_keywords_taxonomy' - Allow changing the taxonomy used to assign keywords to a post type Article data."
,wpseo_schema_article_sections_taxonomy,112,"Filter: 'wpseo_schema_article_sections_taxonomy' - Allow changing the taxonomy used to assign keywords to a post type Article data."
,wpseo_schema_article_potential_action_target,178,"Filter: 'wpseo_schema_article_potential_action_target' - Allows filtering of the schema Article potentialAction target."
src/generators/schema/author.php,,,
,wpseo_schema_person_user_id,82,"Filter: 'wpseo_schema_person_user_id' - Allows filtering of user ID used for person output."
src/generators/schema/organization.php,,,
,wpseo_schema_organization_social_profiles,74,"Filter: 'wpseo_schema_organization_social_profiles' - Allows filtering social profiles for the represented organization."
src/generators/schema/person.php,,,
,wpseo_schema_person_user_id,77,"Filter: 'wpseo_schema_person_user_id' - Allows filtering of user ID used for person output."
,wpseo_schema_person_social_profiles,104,"Filter: 'wpseo_schema_person_social_profiles' - Allows filtering of social profiles per user."
src/generators/schema/third-party/events-calendar-schema.php,,,
,yoast_tec_json_ld_{$type}_data,120,"Allows the event data to be modifed by themes and other plugins."
src/generators/schema/webpage.php,,,
,wpseo_schema_webpage_potential_action_target,128,"Filter: 'wpseo_schema_webpage_potential_action_target' - Allows filtering of the schema WebPage potentialAction target."
src/generators/schema/website.php,,,
,disable_wpseo_json_ld_search,77,"Filter: 'disable_wpseo_json_ld_search' - Allow disabling of the json+ld output."
,wpseo_json_ld_search_url,86,"Filter: 'wpseo_json_ld_search_url' - Allows filtering of the search URL for Yoast SEO."
src/generators/schema-generator.php,,,
,wpseo_pre_schema_block_type_{$block_type},51,"Filter: 'wpseo_pre_schema_block_type_<block-type>' - Allows hooking things to change graph output based on the blocks on the page."
,wpseo_schema_needs_{$identifier},74,"Filter: 'wpseo_schema_needs_<identifier>' - Allows changing which graph pieces we output."
,wpseo_schema_{$identifier},101,"Filter: 'wpseo_schema_<identifier>' - Allows changing graph piece output."
,wpseo_schema_block_{$block_type},122,"Filter: 'wpseo_schema_block_<block-type>' - Allows filtering graph output per block."
,wpseo_schema_graph_pieces,202,"Filter: 'wpseo_schema_graph_pieces' - Allows adding pieces to the graph."
,wpseo_schema_{$type},228,"Filter: 'wpseo_schema_<type>' - Allows changing graph piece output by @type."
src/helpers/author-archive-helper.php,,,
,wpseo_author_archive_post_types,23,"Filters the array of post types that are shown on an author's archive."
src/helpers/current-page-helper.php,,,
,wpseo_frontend_page_type_simple_page_id,94,"Filter: Allow changing the default page id."
src/helpers/indexable-helper.php,,,
,wpseo_dynamic_permalinks_enabled,151,"Filters the value of the `dynamic_permalinks` option."
src/helpers/open-graph/image-helper.php,,,
,wpseo_opengraph_is_valid_image_url,62,"Filter: 'wpseo_opengraph_is_valid_image_url' - Allows extra validation for an image url."
,wpseo_opengraph_image_size,85,"Filter: 'wpseo_opengraph_image_size' - Allow overriding the image size used for Open Graph sharing. If this filter is used, the defined size will always be used for the og:image. The image will still be rejected if it is too small."
src/helpers/pagination-helper.php,,,
,wpseo_disable_adjacent_rel_links,54,"Filter: 'wpseo_disable_adjacent_rel_links' - Allows disabling of Yoast adjacent links if this is being handled by other code."
src/helpers/post-type-helper.php,,,
,wpseo_accessible_post_types,72,"Filter: 'wpseo_accessible_post_types' - Allow changing the accessible post types."
src/helpers/primary-term-helper.php,,,
,wpseo_primary_term_taxonomies,33,"Filters which taxonomies for which the user can choose the primary term."
src/helpers/schema/article-helper.php,,,
,wpseo_schema_article_post_types,27,"Filter: 'wpseo_schema_article_post_types' - Allow changing for which post types we output Article schema."
src/helpers/schema/language-helper.php,,,
,wpseo_schema_piece_language,27,"Filter: 'wpseo_schema_piece_language' - Allow changing the Schema piece language."
src/helpers/twitter/image-helper.php,,,
,wpseo_twitter_image_size,41,"Filter: 'wpseo_twitter_image_size' - Allow changing the Twitter Card image size."
src/integrations/admin/background-indexing-integration.php,,,
,wpseo_shutdown_indexation_limit,185,"Filter 'wpseo_shutdown_indexation_limit' - Allow filtering the number of objects that can be indexed during shutdown."
src/integrations/admin/indexing-tool-integration.php,,,
,wpseo_indexing_data,183,"Filter: 'wpseo_indexing_data' Filter to adapt the data used in the indexing process."
,wpseo_indexing_get_unindexed_count,215,
,wpseo_indexing_endpoints,247,
src/integrations/admin/link-count-columns-integration.php,,,
,wpseo_link_count_post_types,111,
src/integrations/blocks/structured-data-blocks.php,,,
,wpseo_enable_structured_data_blocks,52,"Filter: 'wpseo_enable_structured_data_blocks' - Allows disabling Yoast's schema blocks entirely."
src/integrations/breadcrumbs-integration.php,,,
,wpseo_frontend_presentation,75,"This filter is documented in src/integrations/front-end-integration.php"
src/integrations/front-end/backwards-compatibility.php,,,
,wpseo_output_twitter_card,50,
,wpseo_opengraph,61,
,wpseo_twitter,70,
src/integrations/front-end/comment-link-fixer.php,,,
,wpseo_remove_reply_to_com,135,"Filter: 'wpseo_remove_reply_to_com' - Allow disabling the feature that removes ?replytocom query parameters."
src/integrations/front-end/redirects.php,,,
,wpseo_attachment_redirect_url,173,"Allows the developer to change the target redirection URL for attachments."
src/integrations/front-end/rss-footer-embed.php,,,
,wpseo_include_rss_footer,102,"Filter: 'wpseo_include_rss_footer' - Allow the RSS footer to be dynamically shown/hidden."
,nofollow_rss_links,191,"Filter: 'nofollow_rss_links' - Allow the developer to determine whether or not to follow the links in the bits Yoast SEO adds to the RSS feed, defaults to true."
src/integrations/front-end-integration.php,,,
,wpseo_frontend_presentation,233,"This filter is documented in src/integrations/front-end-integration.php"
,wpseo_head,252,
,wpseo_frontend_presentation,269,"Filter 'wpseo_frontend_presentation' - Allow filtering the presentation used to output our meta values."
,wpseo_frontend_presenters,308,"Filter 'wpseo_frontend_presenters' - Allow filtering the presenter instances in or out of the request."
,wpseo_frontend_presenter_classes,351,"Filter 'wpseo_frontend_presenter_classes' - Allow filtering presenters in or out of the request."
,wpseo_output_twitter_card,395,
,wpseo_output_enhanced_slack_data,398,
src/integrations/watchers/indexable-homeurl-watcher.php,,,
,wpseo_post_types_reset_permalinks,129,"Filter: Gives the possibility to filter out post types."
src/integrations/watchers/indexable-permalink-watcher.php,,,
,wpseo_post_types_reset_permalinks,207,"Filter: Gives the possibility to filter out post types."
src/loggers/logger.php,,,
,wpseo_logger,35,"Gives the possibility to set override the logger interface."
src/presentations/indexable-post-type-presentation.php,,,
,wpseo_opengraph_show_publish_date,265,"Filter: 'wpseo_opengraph_show_publish_date' - Allow showing publication date for other post types."
,wpseo_twitter_creator_account,379,"Filter: 'wpseo_twitter_creator_account' - Allow changing the Twitter account as output in the Twitter card by Yoast SEO."
src/presentations/indexable-presentation.php,,,
,wpseo_robots,301,"Filter: 'wpseo_robots' - Allows filtering of the meta robots output of Yoast SEO."
,wpseo_robots_array,338,"Filter: 'wpseo_robots_array' - Allows filtering of the meta robots output array of Yoast SEO."
src/presenters/admin/indexing-notification-presenter.php,,,
,wpseo_indexables_indexation_alert,96,"Filter: 'wpseo_indexables_indexation_alert' - Allow developers to filter the reason of the indexation"
src/presenters/bingbot-presenter.php,,,
,wpseo_bingbot,64,"Filter: 'wpseo_bingbot' - Allows filtering of the meta bingbot output of Yoast SEO."
src/presenters/breadcrumbs-presenter.php,,,
,wpseo_breadcrumb_output,108,"Filter: 'wpseo_breadcrumb_output' - Allow changing the HTML output of the Yoast SEO breadcrumbs class."
,wpseo_breadcrumb_single_link,170,"Filter: 'wpseo_breadcrumb_single_link' - Allow changing of each link being put out by the Yoast SEO breadcrumbs class."
,wpseo_breadcrumb_output_id,185,"Filter: 'wpseo_breadcrumb_output_id' - Allow changing the HTML ID on the Yoast SEO breadcrumbs wrapper element."
,wpseo_breadcrumb_output_class,210,"Filter: 'wpseo_breadcrumb_output_class' - Allow changing the HTML class on the Yoast SEO breadcrumbs wrapper element."
,wpseo_breadcrumb_output_wrapper,230,
,wpseo_breadcrumb_separator,247,
,wpseo_breadcrumb_single_link_wrapper,261,
src/presenters/canonical-presenter.php,,,
,wpseo_canonical,43,"Filter: 'wpseo_canonical' - Allow filtering of the canonical URL put out by Yoast SEO."
src/presenters/debug/marker-close-presenter.php,,,
,wpseo_debug_markers,23,"Filter: 'wpseo_debug_markers' - Allow disabling the debug markers."
src/presenters/debug/marker-open-presenter.php,,,
,wpseo_debug_markers,24,"Filter: 'wpseo_debug_markers' - Allow disabling the debug markers."
,wpseo_hide_version,36,"Filter: 'wpseo_hide_version' - can be used to hide the Yoast SEO version in the debug marker (only available in Yoast SEO Premium)."
src/presenters/googlebot-presenter.php,,,
,wpseo_googlebot,64,"Filter: 'wpseo_googlebot' - Allows filtering of the meta googlebot output of Yoast SEO."
src/presenters/meta-description-presenter.php,,,
,wpseo_metadesc,59,"Filter: 'wpseo_metadesc' - Allow changing the Yoast SEO meta description sentence."
src/presenters/open-graph/article-author-presenter.php,,,
,wpseo_opengraph_author_facebook,33,"Filter: 'wpseo_opengraph_author_facebook' - Allow developers to filter the article author's Facebook URL."
src/presenters/open-graph/article-publisher-presenter.php,,,
,wpseo_og_article_publisher,33,"Filter: 'wpseo_og_article_publisher' - Allow developers to filter the article publisher's Facebook URL."
src/presenters/open-graph/description-presenter.php,,,
,wpseo_opengraph_desc,33,"Filter: 'wpseo_opengraph_desc' - Allow changing the Yoast SEO generated Open Graph description."
src/presenters/open-graph/image-presenter.php,,,
,wpseo_opengraph_image,84,"Filter: 'wpseo_opengraph_image' - Allow changing the Open Graph image."
src/presenters/open-graph/locale-presenter.php,,,
,wpseo_og_locale,33,"Filter: 'wpseo_og_locale' - Allow changing the Yoast SEO Open Graph locale."
src/presenters/open-graph/site-name-presenter.php,,,
,wpseo_opengraph_site_name,33,"Filter: 'wpseo_opengraph_site_name' - Allow changing the Yoast SEO generated Open Graph site name."
src/presenters/open-graph/title-presenter.php,,,
,wpseo_opengraph_title,34,"Filter: 'wpseo_opengraph_title' - Allow changing the Yoast SEO generated title."
src/presenters/open-graph/type-presenter.php,,,
,wpseo_opengraph_type,33,"Filter: 'wpseo_opengraph_type' - Allow changing the opengraph type."
src/presenters/open-graph/url-presenter.php,,,
,wpseo_opengraph_url,40,"Filter: 'wpseo_opengraph_url' - Allow changing the Yoast SEO generated open graph URL."
